oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
1-3,85W-140,1131.0,10254,139,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,849,<1,<1,<1,<1,<1,0.0,N,324.8,7,5,17,18 to 23,18 to 22,30186 to 45279,29418 to 39225,15564 to 23346,4462 to 8924,0 to 1613,0 to 145,0 to 16
2-1,75W-90,341.0,8319,70,574 to 764,1 to 71,9,<1,1 to 7,1 to 37,12 to 23,1 to 98,2,<1,394 to 525,<1,856 to 1140,1 to 1129,<1,1712,<1,4,<1,<1,<1,0.0,N,97.0,51,4,61,0 to 6,0 to 6,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,358.0,8651,120,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,743,<1,<1,<1,<1,<1,0.0,N,332.8,6,5,16,18 to 23,18 to 22,30186 to 45279,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,341.0,8319,0,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,3,<1,1 to 132,1,<1,1 to 1129,1 to 366,888,<1,<1,<1,<1,<1,0.0,N,319.5,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,241.0,8319,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,1,29 to 43,1 to 132,<1,571 to 856,1 to 1129,1096 to 1462,951,<1,<1,<1,<1,<1,0.0,N,103.5,13,7,18,,,,,,,,,
2-1,75W-90,601.0,7741,34,1 to 192,1 to 71,2,<1,<1,1 to 37,12 to 23,1 to 98,2,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1503,<1,1,<1,<1,<1,0.0,N,96.4,48,4,61,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,366.0,9318,11,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,757,<1,<1,<1,<1,<1,0.0,N,329.6,6,5,16,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,379.0,10313,54,1 to 192,<1,2,<1,<1,1 to 37,12 to 23,1 to 98,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1625,<1,1,<1,<1,<1,0.0,N,93.6,56,4,60,18 to 23,18 to 22,30186 to 45279,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,219.0,4265,4,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1 to 1129,1096 to 1462,997,<1,<1,<1,<1,<1,0.0,N,111.3,12,7,17,,,,,,,,,
1-3,85W-140,960.0,7965,23,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,785,<1,<1,<1,<1,<1,0.0,N,303.5,6,4,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,728.0,8706,0,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1540,<1,<1,<1,<1,<1,0.0,N,82.4,55,4,59,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
